Date,Time,Tweet_Text
16-11-2011,15:26:37,Today we express our deepest gratitude to all those who have served in our armed forces.
16-11-2011,13:33:35,Busy day planned in New York. Will soon be making some very important decisions on the people who will be running our government!
16-11-2011,11:14:20,Love the fact that the small groups of protesters last night have passion for our great country. We will all come together and be proud!
16-11-2011,02:19:44,"Just had a very open and successful presidential election. Now professional protesters, incited by the media, are protesting. Very unfair!"
16-11-2011,02:10:46,"A fantastic day in D.C. Met with President Obama for first time. Really good meeting, great chemistry. Melania liked Mrs. O a lot!"
16-11-2010,19:31:27,Happy 241st birthday to the U.S. Marine Corps! Thank you for your service
16-11-2009,11:36:58,Such a beautiful and important evening! The forgotten man and woman will never be forgotten again. We will all come together as never before
16-11-2009,02:48:27,"Watching the returns at 9:45pm.
#ElectionNight #MAGA__ https://t.co/HfuJeRZbod"
16-11-2009,01:35:15,RT @IvankaTrump: Such a surreal moment to vote for my father for President of the United States! Make your voice heard and vote! 
16-11-2008,23:20:39,RT @EricTrump: Join my family in this incredible movement to #MakeAmericaGreatAgain!! Now it is up to you! 
16-11-2008,23:20:09,RT @DonaldJTrumpJr: FINAL PUSH! Eric and I doing dozens of radio interviews. We can win this thing! GET OUT AND VOTE! 
16-11-2008,23:03:42,Still time to #VoteTrump!
16-11-2008,21:31:20,"Dont let up, keep getting out to vote - this election is FAR FROM OVER! We are doing well but there is much time left. GO FLORIDA!"
16-11-2008,21:28:24,"Just out according to @CNN: ""Utah officials report voting machine problems across entire country"""
16-11-2008,21:18:04,I will be watching the election results from Trump Tower in Manhattan with my family and friends. Very exciting!
16-11-2008,18:03:49,We need your vote. Go to the POLLS! Lets continue this MOVEMENT! Find your poll location.
16-11-2008,16:39:36,VOTE TODAY! Find your polling location. We are going to Make America Great Again!
16-11-2008,11:43:14,TODAY WE MAKE AMERICA GREAT AGAIN!
16-11-2008,06:42:36,Today we are going to win the great state of MICHIGAN and we are going to WIN back the White House! Thank you MI!
16-11-2008,04:32:51,"RT @EricTrump: Sean Hannity: If Hillary wins, you own it."
16-11-2008,04:29:10,RT @DonaldJTrumpJr: Thanks New Hampshire!!!
16-11-2008,04:27:18,RT @detroitnews: .@IvankaTrump in Michigan: This is your movement.
16-11-2008,03:43:54,"Unbelievable evening in New Hampshire - THANK YOU! Flying to Grand Rapids, Michigan now."
16-11-2008,00:17:57,Big news to share in New Hampshire tonight! Polls looking great! See you soon.
16-11-2008,00:16:15,"Today in Florida, I pledged to stand with the people of Cuba and Venezuela in their fight against oppression."
16-11-2008,00:08:28,Thank you Pennsylvania! Going to New Hampshire now and on to Michigan. 
16-11-2007,23:28:48,LIVE on #Periscope: Join me for a few minutes in Pennsylvania. Get out &amp; VOTE tomorrow.
16-11-2007,22:21:53,Hey Missouri lets defeat Crooked Hillary &amp; @koster4missouri! Koster supports Obamacare &amp; amnesty! Vote outsider Navy SEAL @EricGreitens!
16-11-2007,21:37:25,"America must decide between failed policies or fresh perspective, a corrupt system or an outsider"
16-11-2007,21:35:14,What I Like About Trump ... and Why You Need to Vote for Him
16-11-2007,21:03:13,I love you North Carolina- thank you for your amazing support! 
16-11-2007,19:30:12,Just landed in North Carolina- heading to the J.S. Dorton Arena. See you all soon! Lets #MakeAmericaGreatAgain! https://t.co/EUo0keWX1Y
16-11-2005,21:27:32,Watch Coach Mike Ditka- a great guy and supporter tonight at 8pmE on #WattersWorld with @jessebwatters @FoxNews.
16-11-2005,20:13:34,"Thank you Wilmington, North Carolina. We are 3 days away from the CHANGE youve been waiting for your entire life!"
16-11-2005,20:06:21,"Thank you for the incredible support this morning Tampa, Florida! "
16-11-2005,13:33:10,MAKE AMERICA GREAT AGAIN!
16-11-2005,02:52:56,"Thank you Hershey, Pennsylvania. Get out &amp; VOTE on November 8th &amp; we will #MAGA! "
16-11-2004,23:57:37,"Join me in Denver, Colorado tomorrow at 9:30pm!"
16-11-2004,23:50:57,"Join me live in Hershey, Pennsylvania!"
16-11-2004,23:31:28,The only thing that can stop this corrupt machine is YOU. The only force strong enough to save our country is US.
16-11-2004,23:14:59,Thank you Ohio! VOTE so we can replace Obamacare and save healthcare for every family in the United States! 
16-11-2004,20:33:12,"Join me live in Wilmington, Ohio!"
16-11-2004,19:07:20,"If Obama worked as hard on straightening out our country as he has trying to protect and elect Hillary, we would all be much better off!"
16-11-2004,18:56:15,"ICE OFFICERS WARN HILLARY IMMIGRATION PLAN WILL UNLEASH GANGS, CARTELS &amp; DRUG VIOLENCE NATIONWIDE"
16-11-2004,18:46:42,"Thank you NH! We will end illegal immigration, stop the drugs, deport all criminal aliens&amp;save American lives! "
